ACCOLATE,Zafirlukast,Asthma: Chronic urticaria (off-label use):
MEDROL,Methylprednisolone,"Only sodium succinate salt may be given IV. Spinal cord injury, acute (off-label use): Lupus nephritis (off-label dosing): Gout, acute (off-label dosing): Multiple sclerosis, acute exacerbation: Bronchiolitis obliterans syndrome, prevention (off-label use): Asthma, long-term (maintenance) (NAEPP 2007): Arthritis: Cadaveric organ recovery (hormonal resuscitation) (off-label use): Nausea and vomiting of pregnancy, severe/refractory (off-label use): Allergic conditions: Alcoholic hepatitis (severe) (off-label use): Acute respiratory distress syndrome (ARDS), moderate to severe (off-label use): Note: Prostate cancer, metastatic, castration-resistant (off-label use): Dermatomyositis/polymyositis (off-label dosing): 
        <i>Pneumocystis </i> Asthma, exacerbations: Cardiac transplant: Acute cellular rejection (treatment) or antibody-mediated rejection (treatment) (off-label use): Anti-inflammatory or immunosuppressive:  COPD exacerbation (off-label use):"
MEPRON,Atovaquone,"Babesiosis (off-label use): PCP, mild to moderate, treatment: 
        <b>
          <i>Pneumocystis jirovecii</i></b> pneumonia (PCP), prevention: 
          <i>Pneumocystis jirovecii</i> 
        <i>Toxoplasma gondii</i> encephalitis in HIV-infected patients (off-label use; alternative agent) (HHS [OI adult 2017]):"
MESNEX,Mesna,Couldn't get indication.
MESTINON,Pyridostigmine,"Soman nerve gas exposure, pretreatment (military use): Disopyramide-induced anticholingeric adverse effects (off-label use):  Myasthenia gravis: Reversal of nondepolarizing muscle relaxants:"
METADATE CD,Methylphenidate,"ADHD:  Fatigue, cancer-related (off-label use):  not  Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care (off-label use): Narcolepsy:"
METHYLIN,Methylphenidate,"ADHD:  Fatigue, cancer-related (off-label use):  not  Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care (off-label use): Narcolepsy:"
METROCREAM,Metronidazole,"Intra-abdominal infection: Bacterial vaginosis or vaginitis due to Surgical prophylaxis:  Surgical site infections (intestinal or GU tract; axilla or perineum) (off-label use): Skin and soft tissue necrotizing infections (off-label use): Pouchitis (post ileal pouch-anal anastomosis, acute treatment; off-label use): Prophylaxis against sexually-transmitted diseases following sexual assault (off-label use):  infection (off-label use):  Crohn disease, mild to moderate, treatment (off-label use): Trichomoniasis (index case and sex partner): Balantidiasis (off-label use): Urethritis, nongonococcal (recurrent or persistent urethritis in men who have sex with women and who live in regions where <i>T. vaginalis</i> is prevalent; off-label use): Amebiasis (acute dysentery): Pelvic inflammatory disease (off-label dose): Tetanus (<i>Clostridium tetani</i> infection; off-label use): Crohn disease, management after surgical resection (off-label use): Giardiasis (off-label use): Periodontitis (associated with aggressive disease; off-label use): Amebic liver abscess: Clostridium difficile Bite wounds (animal/human) (off-label use) (IDSA [Stevens 2014]): Note: Trichomoniasis, persistent or recurrent (ie, treatment failure of nitroimidazole [eg metronidazole] single-dose therapy) (index case; treatment of sex partner; off-label dose): 
        <i>Dientamoeba fragilis </i> 
        <i>Helicobacter pylori </i>eradication (off-label use): Trichomoniasis in HIV-infected women (off-label dose):"
METROGEL,Metronidazole,"Intra-abdominal infection: Bacterial vaginosis or vaginitis due to Surgical prophylaxis:  Surgical site infections (intestinal or GU tract; axilla or perineum) (off-label use): Skin and soft tissue necrotizing infections (off-label use): Pouchitis (post ileal pouch-anal anastomosis, acute treatment; off-label use): Prophylaxis against sexually-transmitted diseases following sexual assault (off-label use):  infection (off-label use):  Crohn disease, mild to moderate, treatment (off-label use): Trichomoniasis (index case and sex partner): Balantidiasis (off-label use): Urethritis, nongonococcal (recurrent or persistent urethritis in men who have sex with women and who live in regions where <i>T. vaginalis</i> is prevalent; off-label use): Amebiasis (acute dysentery): Pelvic inflammatory disease (off-label dose): Tetanus (<i>Clostridium tetani</i> infection; off-label use): Crohn disease, management after surgical resection (off-label use): Giardiasis (off-label use): Periodontitis (associated with aggressive disease; off-label use): Amebic liver abscess: Clostridium difficile Bite wounds (animal/human) (off-label use) (IDSA [Stevens 2014]): Note: Trichomoniasis, persistent or recurrent (ie, treatment failure of nitroimidazole [eg metronidazole] single-dose therapy) (index case; treatment of sex partner; off-label dose): 
        <i>Dientamoeba fragilis </i> 
        <i>Helicobacter pylori </i>eradication (off-label use): Trichomoniasis in HIV-infected women (off-label dose):"
METROGEL-,Metronidazole,"Intra-abdominal infection: Bacterial vaginosis or vaginitis due to Surgical prophylaxis:  Surgical site infections (intestinal or GU tract; axilla or perineum) (off-label use): Skin and soft tissue necrotizing infections (off-label use): Pouchitis (post ileal pouch-anal anastomosis, acute treatment; off-label use): Prophylaxis against sexually-transmitted diseases following sexual assault (off-label use):  infection (off-label use):  Crohn disease, mild to moderate, treatment (off-label use): Trichomoniasis (index case and sex partner): Balantidiasis (off-label use): Urethritis, nongonococcal (recurrent or persistent urethritis in men who have sex with women and who live in regions where <i>T. vaginalis</i> is prevalent; off-label use): Amebiasis (acute dysentery): Pelvic inflammatory disease (off-label dose): Tetanus (<i>Clostridium tetani</i> infection; off-label use): Crohn disease, management after surgical resection (off-label use): Giardiasis (off-label use): Periodontitis (associated with aggressive disease; off-label use): Amebic liver abscess: Clostridium difficile Bite wounds (animal/human) (off-label use) (IDSA [Stevens 2014]): Note: Trichomoniasis, persistent or recurrent (ie, treatment failure of nitroimidazole [eg metronidazole] single-dose therapy) (index case; treatment of sex partner; off-label dose): 
        <i>Dientamoeba fragilis </i> 
        <i>Helicobacter pylori </i>eradication (off-label use): Trichomoniasis in HIV-infected women (off-label dose):"
METROLOTION,Metronidazole,"Intra-abdominal infection: Bacterial vaginosis or vaginitis due to Surgical prophylaxis:  Surgical site infections (intestinal or GU tract; axilla or perineum) (off-label use): Skin and soft tissue necrotizing infections (off-label use): Pouchitis (post ileal pouch-anal anastomosis, acute treatment; off-label use): Prophylaxis against sexually-transmitted diseases following sexual assault (off-label use):  infection (off-label use):  Crohn disease, mild to moderate, treatment (off-label use): Trichomoniasis (index case and sex partner): Balantidiasis (off-label use): Urethritis, nongonococcal (recurrent or persistent urethritis in men who have sex with women and who live in regions where <i>T. vaginalis</i> is prevalent; off-label use): Amebiasis (acute dysentery): Pelvic inflammatory disease (off-label dose): Tetanus (<i>Clostridium tetani</i> infection; off-label use): Crohn disease, management after surgical resection (off-label use): Giardiasis (off-label use): Periodontitis (associated with aggressive disease; off-label use): Amebic liver abscess: Clostridium difficile Bite wounds (animal/human) (off-label use) (IDSA [Stevens 2014]): Note: Trichomoniasis, persistent or recurrent (ie, treatment failure of nitroimidazole [eg metronidazole] single-dose therapy) (index case; treatment of sex partner; off-label dose): 
        <i>Dientamoeba fragilis </i> 
        <i>Helicobacter pylori </i>eradication (off-label use): Trichomoniasis in HIV-infected women (off-label dose):"
MIACALCIN,Calcitonin,"Hypercalcemia: Paget disease, symptomatic: Postmenopausal osteoporosis:"
MICARDIS,Telmisartan,Hypertension: Cardiovascular risk reduction:
MICARDIS HCT,Telmisartan-hydrochlorothiazide,Hypertension:
MICRO-K,Potassium chloride,Prevention of hypokalemia: Normal daily requirements: Treatment of hypokalemia:
MICRONASE,Glyburide,"Management of noninsulin-dependent diabetes mellitus in patients previously maintained on insulin: Diabetes mellitus, type 2: not"
MICROZIDE,Hydrochlorothiazide,Hypertension: Fluid retention (mild) in heart failure: Calcium nephrolithiasis (off-label use): Edema:
MIDAMOR,Amiloride,Ascites (off-label use): Hypertension (alternative
MIGRANAL,Dihydroergotamine,"Migraine, cluster headache: Intractable migraine (status migrainosus; &gt;72 hours): "
MINIPRESS,Prazosin,PTSD-related nightmares and sleep disruption (off-label use): Hypertension (alternative agent): Raynaud phenomenon (off-label use):
MITIGARE,Colchicine,Indication-specific dosing:  Dosage adjustment for concomitant therapy with CYP3A4 or P-gp inhibitors:
MOBIC,Meloxicam,"Osteoarthritis, rheumatoid arthritis: Osteoarthritis:"
MONODOX,Doxycycline,"Periodontitis, chronic: Pneumonia, community-acquired Lyme disease (<i>Borrelia</i> spp. infection) (off-label use): Pleurodesis, chemical (sclerosing agent for pleural effusion) (off-label use):  
        <i>Bartonella</i> Bite-wound infection, prophylaxis or treatment (animal and human bites; alternative agent) (off-label use): Sexually transmitted infections: Usual dosage range: Malaria: Q fever: Rhinosinusitis, acute bacterial (alternative agent for beta-lactam intolerance) (off-label use): Tularemia (<i>Francisella tularensis</i>): Anaplasmosis and ehrlichiosis (off-label use) Surgical prophylaxis, uterine evacuation (induced abortion or pregnancy loss) (off-label use):  Brucellosis: Note:  Cholera (<i>Vibrio cholerae</i>), treatment (adjunctive therapy for severely ill patients):  Rocky Mountain spotted fever: Cellulitis, mild to moderate (outpatient treatment; empiric coverage of MRSA) (off-label use): Anthrax: Note: Plague <i>(Yersinia pestis</i>) Acne vulgaris (moderate to severe, inflammatory) (off-label dose):  Rosacea, moderate to severe or unresponsive to topical therapy:  Prosthetic joint infection (off-label use):"
MONOKET,Isosorbide mononitrate,Angina pectoris:
MOXATAG,Amoxicillin,"Erysipeloid (off-label use): Lower respiratory tract infections: Prophylaxis in total joint replacement patients undergoing dental procedures which produce bacteremia (off-label use): Endocarditis, prophylaxis (off-label use): <i>Enterococcus</i> Lyme neuroborreliosis (off-label use) (when doxycycline is contraindicated):  Lyme disease (excluding neurologic disease) (off-label use) (IDSA [Wormser 2006]): eradication: Pharyngitis, group A streptococci: Usual dosage range: Helicobacter pylori  Periodontitis (aggressive) (in combination with metronidazole) associated with presence of  Indication-specific dosing: Anthrax, inhalational postexposure prophylaxis (CDC recommendations) (off-label use): Ear, nose, throat, genitourinary tract, or skin/skin structure infections:  Prosthetic joint infection, chronic antimicrobial suppression of prosthetic joint infection associated with beta-hemolytic streptococci, penicillin-susceptible <b><i>Enterococcus</i></b> spp, or <i>Cutibacterium</i> spp (off-label use):"
MS CONTIN,Morphine, Pain management:
MYAMBUTOL,Ethambutol,"Nontuberculous mycobacterial disease  (MAC) disease (off-label use): Mycobacterium avium complex  Tuberculosis, pulmonary (drug-susceptible): Tuberculous meningitis (drug-susceptible) (off-label use): "
MYCOBUTIN,Rifabutin,"Tuberculosis (off-label use): 
        <i>Mycobacterium avium</i> complex (MAC) disease (disseminated) in HIV-infected patients:"
NAFTIN CREAM,Naftifine,"Tinea pedis: Tinea corporis, tinea cruris:"
NALFON,Fenoprofen,"Pain (mild to moderate): Note:  Osteoarthritis, rheumatoid arthritis:"
NAMENDA,Memantine,"Alzheimer disease, moderate to severe:  Vascular dementia, mild to moderate (off-label use):"
NAPRELAN,Naproxen,"Gout, acute: Pain (mild to moderate), dysmenorrhea, acute tendonitis, bursitis: Episodic migraine prevention (off-label use):  Migraine, acute (off label use): Ankylosing spondylitis, osteoarthritis, rheumatoid arthritis: 
        <i>OTC labeling:</i>"
NARDIL,Phenelzine,Depression: Discontinuation of therapy: MAO inhibitor recommendations:
NASACORT AQ,Triamcinolone,Multiple sclerosis (acute exacerbation): Inflammatory/allergic conditions/other steroid-responsive systemic conditions: Pericarditis (off-label use): Rheumatic conditions: Dermatoses (steroid-responsive): 
NASONEX,Mometasone,Couldn't get indication.
NATROBA,Spinosad,Head lice:
NEOPROFEN,Ibuprofen,Dysmenorrhea: Rheumatoid arthritis: Antipyretic: Analgesia (mild to moderate pain): OTC labeling: Pericarditis (off-label use): Osteoarthritis:
NESINA,Alogliptin,"Diabetes mellitus, type 2:"
NEURONTIN,Gabapentin,"Alcohol withdrawal (off-label use): Diabetic neuropathy (off-label use):  Alcohol use disorder (off-label use):  Uremic pruritus (off-label use) Fibromyalgia syndrome (off-label use): Hiccups (singultus) (off-label use): Neuropathic pain (off-label use): Brachioradial pruritus (off-label use):  Seizures, partial onset: Postoperative pain (adjunct) (off-label use): Restless legs syndrome (RLS) (off-label use): Social anxiety disorder (off-label use): Cough, chronic (refractory) (off-label use): Postherpetic neuralgia: Vasomotor symptoms associated with menopause (off-label use):"
NIASPAN,Niacin,Dyslipidemia: Pellagra (off-label use): Dietary supplement (OTC labeling):
NICORETTE,Nicotine,Smoking cessation (patients should completely stop smoking upon initiation of therapy):
NITROLINGUAL,Nitroglycerin (glyceryl trinitrate),"Angina/coronary artery disease: Gastroesophageal variceal hemorrhage (off-label use): Note:  Esophageal spastic disorders (off-label use):  Sympathomimetic vasopressor extravasation injury (alternative to phentolamine) (off-label use; based on limited data):  Acute decompensated heart failure (off-label dose):  Anal fissure, chronic (0.4% ointment): Uterine relaxation (off-label use):"
NITROMIST,Nitroglycerin,"Angina/coronary artery disease: Gastroesophageal variceal hemorrhage (off-label use): Note:  Esophageal spastic disorders (off-label use):  Sympathomimetic vasopressor extravasation injury (alternative to phentolamine) (off-label use; based on limited data):  Acute decompensated heart failure (off-label dose):  Anal fissure, chronic (0.4% ointment): Uterine relaxation (off-label use):"
NITROSTAT,Sublingual nitroglycerin,"Angina/coronary artery disease: Gastroesophageal variceal hemorrhage (off-label use): Note:  Esophageal spastic disorders (off-label use):  Sympathomimetic vasopressor extravasation injury (alternative to phentolamine) (off-label use; based on limited data):  Acute decompensated heart failure (off-label dose):  Anal fissure, chronic (0.4% ointment): Uterine relaxation (off-label use):"
NIZORAL,Ketoconazole,"Cushing syndrome (off-label use): Fungal infections (systemic): Prostate cancer, advanced (off-label use):"
NOR-QD,Norethindrone,Endometriosis: Contraception: Abnormal uterine bleeding and amenorrhea:
NORFLEX,Orphenadrine,Muscle spasms:
NORINYL,Ethinyl estradiol and norethindrone,Osteoporosis prevention: Contraception: Vasomotor symptoms associated with menopause: Postmenopausal indications: Acne:
NORPRAMIN,Desipramine,Bulimia nervosa (off-label use): Diabetic neuropathy (off-label use): Irritable bowel syndrome (off-label use): Discontinuation of therapy: MAO inhibitor recommendations: Depression: Postherpetic neuralgia (off-label use):
NORVASC,Amlodipine,Hypertension: Stable coronary artery disease (CAD) with ongoing ischemic symptoms or chronic stable angina: Vasospastic angina: Pulmonary arterial hypertension (PAH) (group 1 PAH) (alternative therapy to nifedipine or diltiazem) (off-label use):
NULYTELY,Polyethylene glycol-electrolyte solution,Whole bowel irrigation (off-label use) (AACT 2004): Bowel cleansing:
OCUFEN,Flurbiprofen,"
        <i>US labeling:</i> 
        <i>Canadian labeling:</i>"
OLUX,Clobetasol,"Moderate to severe plaque-type psoriasis: Mild to moderate plaque-type psoriasis of nonscalp areas:  Oral mucosal inflammation (off-label use): Steroid-responsive dermatoses: Scalp psoriasis, moderate to severe:"
OLUX-E,Clobetasol,"Moderate to severe plaque-type psoriasis: Mild to moderate plaque-type psoriasis of nonscalp areas:  Oral mucosal inflammation (off-label use): Steroid-responsive dermatoses: Scalp psoriasis, moderate to severe:"
OMNIPRED,Prednisolone,"Primary adrenal insufficiency, chronic (physiologic replacement) (off-label dose; alternative to preferred therapy):  Bell‰Ûªs palsy (off-label use):  Multiple sclerosis: Chronic obstructive pulmonary disease (acute exacerbation) (off-label use): Usual dose (range): Alcoholic hepatitis (severe) (Maddrey Discriminant Function [MDF] score ‰ä´32) (off-label use): Asthma exacerbations: Gout, treatment of acute flares (off-label):"
OPANA,Oxymorphone,Couldn't get indication.
OPTIVAR,Azelastine,Couldn't get indication.
ORABLOC,Articaine-epinephrine,Dental anesthesia: 
ORACEA,Doxycycline,"Periodontitis, chronic: Pneumonia, community-acquired Lyme disease (<i>Borrelia</i> spp. infection) (off-label use): Pleurodesis, chemical (sclerosing agent for pleural effusion) (off-label use):  
        <i>Bartonella</i> Bite-wound infection, prophylaxis or treatment (animal and human bites; alternative agent) (off-label use): Sexually transmitted infections: Usual dosage range: Malaria: Q fever: Rhinosinusitis, acute bacterial (alternative agent for beta-lactam intolerance) (off-label use): Tularemia (<i>Francisella tularensis</i>): Anaplasmosis and ehrlichiosis (off-label use) Surgical prophylaxis, uterine evacuation (induced abortion or pregnancy loss) (off-label use):  Brucellosis: Note:  Cholera (<i>Vibrio cholerae</i>), treatment (adjunctive therapy for severely ill patients):  Rocky Mountain spotted fever: Cellulitis, mild to moderate (outpatient treatment; empiric coverage of MRSA) (off-label use): Anthrax: Note: Plague <i>(Yersinia pestis</i>) Acne vulgaris (moderate to severe, inflammatory) (off-label dose):  Rosacea, moderate to severe or unresponsive to topical therapy:  Prosthetic joint infection (off-label use):"
ORAPRED ODT,Prednisolone,"Primary adrenal insufficiency, chronic (physiologic replacement) (off-label dose; alternative to preferred therapy):  Bell‰Ûªs palsy (off-label use):  Multiple sclerosis: Chronic obstructive pulmonary disease (acute exacerbation) (off-label use): Usual dose (range): Alcoholic hepatitis (severe) (Maddrey Discriminant Function [MDF] score ‰ä´32) (off-label use): Asthma exacerbations: Gout, treatment of acute flares (off-label):"
ORTHO CYCLEN-28,Ethinyl estradiol-norgestimate,"With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration."
ORTHO MICRONOR,Norethindrone,Endometriosis: Contraception: Abnormal uterine bleeding and amenorrhea:
ORTHO TRI-CYCLEN,Ethinyl estradiol-norgestimate,"With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration."
ORTHO-NOVUM,Ethinyl estradiol and norethindrone,Osteoporosis prevention: Contraception: Vasomotor symptoms associated with menopause: Postmenopausal indications: Acne:
OSENI,Alogliptin-pioglitazone,"Concomitant use with insulin or insulin secretagogues Dosage adjustment with strong CYP2C8 inhibitors (eg, gemfibrozil): Diabetes mellitus, type 2:"
OVIDE,Malathion,Pubic lice (<i>Pediculosis pubis</i>) (following treatment failure of pediculcides) (off-label use): Head lice (<i>Pediculus humanus capitis</i>):
OXANDRIN,Oxandrolone,Weight gain (adjunctive therapy
OXSORALEN ULTRA,Methoxsalen,Vitiligo: Psoriasis: Cutaneous T-cell lymphoma (CTCL): 
OXYCODONE,Oxycodone,Discontinuation of therapy:  Dosage adjustment in debilitated patients (nonopioid tolerant):  Pain management:
OXYCONTIN,Oxycodone,Discontinuation of therapy:  Dosage adjustment in debilitated patients (nonopioid tolerant):  Pain management:
PARAPLATIN,Carboplatin,"Bladder cancer (off-label use): Malignant pleural mesothelioma (off-label use): Endometrial cancer (off-label use): Sarcomas: Ewing sarcoma, osteosarcoma (off-label uses): Gastric cancer (off-label use):  Merkel cell carcinoma (off-label use):  Anal cancer, advanced (off-label use): Thyroid cancer (anaplastic), advanced:  Non-small cell lung cancer (off-label use): Thymic malignancies (off-label use): Testicular cancer (off-label use): Small cell lung cancer (off-label use): Non-Hodgkin lymphomas, relapsed or refractory (off-label use): Hodgkin lymphoma, relapsed or refractory (off-label use): Esophageal cancer (off-label use): Melanoma, advanced or metastatic (off-label use): Neuroendocrine tumors, advanced, atypical or poorly differentiated (nonpulmonary) (off-label use): Cervical cancer, recurrent or metastatic (off-label use): Unknown primary adenocarcinoma (off-label use): Head and neck cancer (off-label use): Ovarian cancer, advanced: Hematopoietic stem cell transplant (HSCT) for metastatic germ cell tumors:  Breast cancer, metastatic (off-label use):"
PARAPLATIN AQ,Carboplatin,"Bladder cancer (off-label use): Malignant pleural mesothelioma (off-label use): Endometrial cancer (off-label use): Sarcomas: Ewing sarcoma, osteosarcoma (off-label uses): Gastric cancer (off-label use):  Merkel cell carcinoma (off-label use):  Anal cancer, advanced (off-label use): Thyroid cancer (anaplastic), advanced:  Non-small cell lung cancer (off-label use): Thymic malignancies (off-label use): Testicular cancer (off-label use): Small cell lung cancer (off-label use): Non-Hodgkin lymphomas, relapsed or refractory (off-label use): Hodgkin lymphoma, relapsed or refractory (off-label use): Esophageal cancer (off-label use): Melanoma, advanced or metastatic (off-label use): Neuroendocrine tumors, advanced, atypical or poorly differentiated (nonpulmonary) (off-label use): Cervical cancer, recurrent or metastatic (off-label use): Unknown primary adenocarcinoma (off-label use): Head and neck cancer (off-label use): Ovarian cancer, advanced: Hematopoietic stem cell transplant (HSCT) for metastatic germ cell tumors:  Breast cancer, metastatic (off-label use):"
PARLODEL,Bromocriptine,Acromegaly: Hyperprolactinemia: Diabetes Neuroleptic malignant syndrome (off-label use): Parkinsonism:
PARNATE,Tranylcypromine,Major depressive disorder (unipolar): Discontinuation of therapy: MAO inhibitor recommendations:
PATADAY,Olopatadine,Couldn't get indication.
PATANASE,Olopatadine,Couldn't get indication.
PATANOL,Olopatadine,Couldn't get indication.
PAXIL CR,Paroxetine,Vasomotor symptoms of menopause: Premenstrual dysphoric disorder (PMDD)  Discontinuation of therapy: Social anxiety disorder: Generalized anxiety disorder (GAD)  MAO inhibitor recommendations: Panic disorder: Obsessive-compulsive disorder (OCD)  Major depressive disorder (MDD): Post-traumatic stress disorder (PTSD) 
PEDIAPRED,Prednisolone,"Primary adrenal insufficiency, chronic (physiologic replacement) (off-label dose; alternative to preferred therapy):  Bell‰Ûªs palsy (off-label use):  Multiple sclerosis: Chronic obstructive pulmonary disease (acute exacerbation) (off-label use): Usual dose (range): Alcoholic hepatitis (severe) (Maddrey Discriminant Function [MDF] score ‰ä´32) (off-label use): Asthma exacerbations: Gout, treatment of acute flares (off-label):"
PHOSLO,Calcium acetate,"Control of hyperphosphatemia (ESRD, on dialysis):"
PLAN B,Levonorgestrel,Emergency contraception:
PLAQUENIL,Hydroxychloroquine,"Primary SjÌ¦gren syndrome (extraglandular manifestations) (off-label use): Rheumatoid arthritis (off-label dose): Porphyria cutanea tarda (off-label use): Malaria, chemoprophylaxis: Malaria, acute attack: Q fever, chronic (off-label use) (CDC 2013): Lupus erythematosus (off-label dose):"
PLENDIL,Felodipine,Hypertension:
PLETAL,Cilostazol,PCI (following elective stent placement) (off-label use): Intermittent claudication: Secondary prevention of noncardioembolic stroke or TIA (off-label use): Dosage adjustment with concomitant medications: 
POLYTRIM,Trimethoprim-polymyxin B,"Conjunctivitis, blepharoconjunctivitis:"
PONSTEL,Mefenamic acid,"Pain, mild to moderate: Note:  Primary dysmenorrhea: "
POTASSIUM,Potassium chloride,Prevention of hypokalemia: Normal daily requirements: Treatment of hypokalemia:
PRAVACHOL,Pravastatin,"ACC/AHA Blood Cholesterol Guideline recommendations (ACC/AHA [Stone 2013]): Dosage adjustment for pravastatin with concomitant medications: Primary or secondary prevention: Note:  US Preventive Services Task Force recommendations (USPSTF 2016): Prevention of cardiovascular disease/reduce the risk of ASCVD: NLA Dyslipidemia Guideline recommendations (NLA [Jacobson 2015]):  Hyperlipidemias, primary prevention of coronary events, secondary prevention of cardiovascular events (also see ACC/AHA Blood Cholesterol Guideline recommendations):"
PRECOSE,Acarbose,"Diabetes mellitus, type 2:"
PRED FORTE,Prednisolone,"Primary adrenal insufficiency, chronic (physiologic replacement) (off-label dose; alternative to preferred therapy):  Bell‰Ûªs palsy (off-label use):  Multiple sclerosis: Chronic obstructive pulmonary disease (acute exacerbation) (off-label use): Usual dose (range): Alcoholic hepatitis (severe) (Maddrey Discriminant Function [MDF] score ‰ä´32) (off-label use): Asthma exacerbations: Gout, treatment of acute flares (off-label):"
PREVACID,Lansoprazole,Symptomatic GERD: NSAID-associated gastric ulcer (to reduce risk): Erosive esophagitis: Discontinuation of therapy: Stress ulcer prophylaxis in critically-ill patients (off-label use): NSAID-associated gastric ulcer (healing): Peptic ulcer disease: Heartburn (OTC labeling): Hypersecretory conditions:
PREVPAC,Lansoprazole-amoxicillin-clarithromycin,"
        <i>H. pylori</i> eradication:"
PRILOSEC,Omeprazole,"Erosive esophagitis: NSAID-induced ulcer prophylaxis (off-label use): Discontinuation of therapy: 
        <i>Helicobacter pylori </i> Gastric ulcers: NSAID-induced ulcer treatment (off-label use): Pathological hypersecretory conditions: GERD, refractory (off-label dose): Duodenal ulcer: Dyspepsia (off-label use): Stress ulcer prophylaxis in critically ill patients (off-label use): GERD, symptomatic (without esophageal lesions): Heartburn (OTC only):"
PRISTIQ,Desvenlafaxine,Major depressive disorder (MDD): Discontinuation of therapy: MAO inhibitor recommendations: Vasomotor symptoms associated with menopause (off-label use):
PROCARDIA,Nifedipine,Hypertension: High altitude pulmonary edema (off-label use): Raynaud's phenomenon (off-label use): Chronic stable or vasospastic angina: Ureteral calculi (distal) (off-label use):  Achalasia (off-label use): Hypertension emergency in pregnancy (systolic BP ‰ä´160 mm Hg or diastolic BP ‰ä´110 mm Hg) (off-label dose): Pulmonary hypertension (off-label use):
PROCARDIA XL,Nifedipine,Hypertension: High altitude pulmonary edema (off-label use): Raynaud's phenomenon (off-label use): Chronic stable or vasospastic angina: Ureteral calculi (distal) (off-label use):  Achalasia (off-label use): Hypertension emergency in pregnancy (systolic BP ‰ä´160 mm Hg or diastolic BP ‰ä´110 mm Hg) (off-label dose): Pulmonary hypertension (off-label use):
PROMETRIUM,Progesterone,"ART in patients who require progesterone supplementation: Uterine bleeding (functional): Amenorrhea, secondary: Endometrial hyperplasia, prevention Prevention of spontaneous preterm delivery (singleton pregnancy and prior preterm birth or short cervix) (off-label use): Amenorrhea: ART in patients with partial or complete ovarian failure:"
PROVERA,Medroxyprogesterone acetate,"Endometriosis (Depo-subQ Provera 104): Amenorrhea, secondary: Contraception: Endometrial hyperplasia prevention in postmenopausal persons receiving daily conjugated estrogen (alternative agent): Abnormal uterine bleeding: Hot flashes (off-label use):  Paraphilia/hypersexuality (off-label use) (Reilly 2000): Endometrial hyperplasia, treatment (off-label use): Note:  Endometrial carcinoma, recurrent or metastatic (adjunctive/palliative treatment):"
PROVIGIL,Modafinil,"Narcolepsy, obstructive sleep apnea (OSA): 
        <i>Off-label uses:</i> Shift work sleep disorder (SWSD):"
PURINETHOL,Mercaptopurine,"Acute lymphoblastic leukemia (ALL): Maintenance:  Lymphoblastic lymphoma (off-label use): 
        <i>Dosage adjustment with concurrent allopurinol:</i> Acute promyelocytic leukemia, maintenance (off-label use):  
        <i>Dosage adjustment for TPMT and/or NUDT15 deficiency: </i> Crohn disease, remission maintenance or reduction of steroid use (off-label use): Ulcerative colitis (off-label use): Crohn disease, management after surgical resection (off-label use):"
QUALAQUIN,Quinine,"Babesiosis (off-label use): Malaria, uncomplicated, due to chloroquine-resistant <i>P. vivax </i>(treatment) (off-label use):  Malaria, uncomplicated, due to chloroquine-resistant <i>P. falciparum</i> (treatment): "
QUARTETTE,Ethinyl estradiol-levonorgestrel,"Contraception With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration.  Emergency Contraception"
QUEDEXY XR,"
       ",Couldn't get indication.
RAPAMUNE,Sirolimus,Lymphangioleiomyomatosis:  (off-label use): Lung transplantation (rejection prophylaxis) (off-label use): Heart transplantation ( Renal angiomyolipoma (off-label use): Graft-versus-host disease (GVHD) (off-label use): Renal transplant (rejection prophylaxis):
RAZADYNE,Galantamine,"Alzheimer dementia, severe (off-label use): Alzheimer dementia, mild-to-moderate: 
        <i>Conversion from immediate release to extended release formulation:</i> Dementia associated with Parkinson disease and Lewy body dementia (off-label use): 
        <i>Conversion to galantamine from other cholinesterase inhibitors:</i>"
RAZADYNE ER,Galantamine,"Alzheimer dementia, severe (off-label use): Alzheimer dementia, mild-to-moderate: 
        <i>Conversion from immediate release to extended release formulation:</i> Dementia associated with Parkinson disease and Lewy body dementia (off-label use): 
        <i>Conversion to galantamine from other cholinesterase inhibitors:</i>"
REGLAN,Metoclopramide,"Prevention of radiation therapy-induced nausea and vomiting (minimal emetic risk) (off-label use): Nausea and vomiting of pregnancy (off-label use): Note: Prevention of postoperative nausea and vomiting: Migraine (acute) (off-label use): Note:  Gastroesophageal reflux: Diabetic gastroparesis: Note: Radiological exam: Hiccups (off-label use): Note:  Small bowel intubation (postpyloric feeding tube placement): Gastric bezoars (off-label use):  Prevention of nausea and vomiting associated with emetogenic chemotherapy: Treatment of nausea and vomiting in advanced cancer  Dosage adjustment for concomitant therapy: Gastroparesis management, regardless of etiology (off-label use):"
RELPAX,Eletriptan,Acute migraine:
